MovieTitle,Id,Production,Director,Runtime,Genre,Revenue,Rated,Language,ReleaseDate,Popularity,VoteCount,VoteAverage,Adult
Jurassic World: Fallen Kingdom,351286,Universal Pictures,J.A. Bayona,128 min,"Action, Adventure, Sci-Fi",N/A,PG-13,"English, Russian",2018-06-06,299.795,1545,6.6,False
Incredibles 2,260513,Disney/Pixar,Brad Bird,118 min,"Animation, Action, Adventure",N/A,PG,English,2018-06-14,197.17,756,7.7,False
Ready Player One,333339,Warner Bros. Pictures,Steven Spielberg,140 min,"Action, Adventure, Sci-Fi",N/A,PG-13,English,2018-03-28,184.301,2650,7.7,False
Thor: Ragnarok,284053,Walt Disney Pictures,Taika Waititi,130 min,"Action, Adventure, Comedy","$314,971,245",PG-13,English,2017-10-25,156.228,7113,7.5,False
Ant-Man and the Wasp,363088,Walt Disney Pictures,Peyton Reed,118 min,"Action, Adventure, Sci-Fi",N/A,PG-13,English,2018-07-04,144.981,159,7.2,False
Avengers: Infinity War,299536,Walt Disney Pictures,"Anthony Russo, Joe Russo",149 min,"Action, Adventure, Fantasy","$664,987,816",PG-13,English,2018-04-25,127.079,5416,8.4,False
Rampage,427641,Warner Bros. Pictures,Brad Peyton,107 min,"Action, Adventure, Sci-Fi",N/A,PG-13,"English, Spanish",2018-04-12,123.693,1108,6,False
Fifty Shades Freed,337167,Universal Pictures,James Foley,105 min,"Drama, Romance, Thriller","$95,599,460",R,English,2018-01-17,108.79,2210,6,False
The First Purge,442249,Universal Pictures,Gerard McMurray,97 min,"Action, Horror, Sci-Fi",N/A,R,English,2018-07-04,103.16,76,6.3,False
A Quiet Place,447332,Paramount Pictures,John Krasinski,90 min,"Drama, Horror, Sci-Fi",N/A,PG-13,"English, American Sign Language",2018-04-03,100.149,1861,7.2,False
Jurassic World,135397,Universal Pictures,Colin Trevorrow,124 min,"Action, Adventure, Sci-Fi","$528,757,749",PG-13,English,2015-06-06,90.204,11399,6.5,False
Tomb Raider,338970,Warner Bros. Pictures,Roar Uthaug,118 min,"Action, Adventure, Fantasy",N/A,PG-13,"English, Cantonese",2018-03-05,80.158,1993,6.2,False
Truth or Dare,460019,Universal Pictures,Jeff Wadlow,100 min,"Horror, Thriller",N/A,PG-13,English,2018-04-12,79.806,515,6,False
The Purge: Anarchy,238636,Universal Pictures,James DeMonaco,103 min,"Action, Horror, Sci-Fi",N/A,R,English,2014-07-17,77.501,2755,6.6,False
The Purge,158015,Universal Pictures,James DeMonaco,85 min,"Horror, Thriller","$64,400,000",R,English,2013-05-31,76.545,3444,6.1,False
Deadpool 2,383498,Twentieth Century Fox,David Leitch,119 min,"Action, Adventure, Comedy",N/A,R,English,2018-05-15,74.465,2833,7.6,False
Black Panther,284054,Marvel Studios,Ryan Coogler,134 min,"Action, Adventure, Sci-Fi","$501,105,037",PG-13,"Swahili, Nama, English, Xhosa, Korean",2018-02-13,72.842,6600,7.3,False
Qayamat: City Under Threat,318484,N/A,Harry Baweja,156 min,"Action, Adventure, Romance",N/A,NOT RATED,Hindi,2003-07-11,72.527,8,5.3,False
